case_id,issue_code,issue_label,runs,attempts_with_issue,v2_attempts_with_issue,v3_attempts_with_issue,v4_attempts_with_issue,source_category
pass1.query1,q1_dropped_call9,Dropped call_id 9 even though sample S2 exists and should survive the sample join,"v2,v3,v4",15,3,6,6,under_inclusion
pass1.query1,q1_included_orphan_s999,Included orphan sample row S999/call_id 8 that should disappear under the inner join,"v2,v3,v4",18,9,6,3,over_inclusion
pass1.query1,q1_attribute_leakage,Leaked tissue or condition values across rows instead of preserving sample attributes,"v2,v4",4,1,0,3,attribute_mapping
pass1.query2,q2_wrong_sort,"Returned the matched row set but not in `qual DESC, call_id ASC` order","v2,v3,v4",57,12,7,38,sort
pass1.query2,q2_dropped_matched_calls,Dropped valid matched calls from the joined result,"v2,v3,v4",18,6,8,4,under_inclusion
pass1.query2,q2_included_v999,Included call_id 9 / V999 despite the required inner join to `variant_dim`,"v2,v3",24,12,12,0,over_inclusion
pass1.query3,q3_bad_unmatched_row,Did not preserve the unmatched `S999` row cleanly in the left join output,"v2,v3,v4",15,3,3,9,generic
pass1.query3,q3_attribute_mixup,Mixed condition values into tissue/batch fields or used the wrong expression values,"v2,v3,v4",12,3,3,6,attribute_mapping
pass1.query3,q3_type_only,Matched the table semantically but serialized numbers/nulls with the wrong types,"v2,v4",5,3,0,2,null_key_type
pass1.query4,q4_s2_avg_wrong,"Computed the `S2` average incorrectly, often from the wrong row set or over-rounded output","v2,v3,v4",55,10,12,33,numeric
pass1.query4,q4_s2_undercounted,"Undercounted `S2` by missing one fact row, usually call_id 9","v2,v3,v4",30,6,6,18,numeric
pass1.query5,q5_dropped_matched_rows,Dropped valid matched rows while traversing the fact -> variant -> gene chain,"v2,v3,v4",35,2,6,27,under_inclusion
pass1.query5,q5_kept_call6,Kept call_id 6 / V5 after the second inner join instead of dropping the incomplete chain,"v2,v3,v4",55,16,15,24,over_inclusion
pass1.query5,q5_kept_call9,Kept unmatched call_id 9 / V999 even though the chain join should remove it,"v2,v3,v4",29,13,8,8,over_inclusion
pass1.query6,q6_avg_wrong,Used the wrong row set for average quality per impact bucket,"v2,v3,v4",75,18,15,42,numeric
pass1.query6,q6_high_undercount,Under-counted high-impact calls by not aggregating both V2 and V3 duplicates,"v2,v3,v4",75,18,15,42,numeric
pass1.query6,q6_missing_categories,Dropped one or more impact categories such as `modifier` or `low`,v4,7,0,0,7,under_inclusion
pass1.query6,q6_moderate_undercount,Under-counted the two moderate V1 calls,"v2,v3",17,6,11,0,numeric
pass1.query7,q7_misweighted_avg,Computed tissue averages from the wrong grain instead of fact-call-weighted quality values,"v2,v3,v4",78,18,18,42,numeric
pass1.query7,q7_wrong_extrema,Minimum or maximum quality per tissue came from the wrong row set,"v2,v3,v4",71,15,17,39,numeric
pass1.query7,q7_included_root,Included `root` / `S5` even though the task required an inner join to fact rows only,"v2,v3",10,6,4,0,over_inclusion
pass1.query8,q8_expr_misweighted,Averaged expression at the wrong grain instead of call-weighting by joined fact rows,"v2,v3,v4",78,18,18,42,attribute_mapping
pass1.query8,q8_sample_counts,Used sample counts instead of fact-call counts for one or more conditions,"v2,v3,v4",72,18,18,36,numeric
pass1.query8,q8_high_light_leak,"Leaked `S5` / `high_light` into the aggregate, inflating the high-light bucket","v2,v3,v4",24,12,9,3,grouping
pass1.query9,q9_high_impact_miss,Missed the high-impact filter/count after joining to `variant_dim`,"v2,v3,v4",78,18,18,42,numeric
pass1.query9,q9_wrong_total_calls,"Used the wrong total-call counts, usually from sample-level counting or leaked rows","v2,v3,v4",65,15,17,33,numeric
pass1.query9,q9_high_light_leak,Inflated the high-light bucket by leaking unmatched or extra rows,"v2,v3,v4",36,10,11,15,grouping
pass1.query10,q10_false_missing_variant,Marked matched variants as `MISSING_VARIANT` instead of `MATCHED`,"v2,v3,v4",12,3,3,6,under_inclusion
pass1.query10,q10_type_only,Matched the audit semantically but serialized identifiers with the wrong types,"v2,v3,v4",5,3,1,1,null_key_type
pass1.query10,q10_dropped_call9,Dropped the unmatched call_id 9 row despite the required left join,v3,2,0,2,0,under_inclusion
pass1.query10,q10_nullified_v999,Nullified `variant_id` for call_id 9 instead of preserving `V999` from the fact table,v2,2,2,0,0,null_key_type
pass2.query1,q1_wrong_gene_or_impact,Mapped a valid call to the wrong gene or impact value,v4,17,0,0,17,attribute_mapping
pass2.query1,q1_kept_call6,Kept call_id 6 / V5 even though the complete four-table inner join should remove it,"v2,v3,v4",41,15,15,11,over_inclusion
pass2.query1,q1_dropped_valid_calls,Dropped one or more valid complete-chain calls,"v3,v4",22,0,12,10,under_inclusion
pass2.query1,q1_kept_call8,Kept call_id 8 / S999 even though the sample dimension is missing,"v2,v3",12,9,3,0,over_inclusion
pass2.query1,q1_kept_call9,Kept call_id 9 / V999 even though the variant/gene chain is incomplete,v2,7,7,0,0,over_inclusion
pass2.query2,q2_wrong_gene_mapping,Mapped matched variants to the wrong gene symbol or dropped a valid gene symbol,"v2,v3,v4",21,3,3,15,attribute_mapping
pass2.query2,q2_bad_sample_nulls,Filled sample attributes for S999 instead of leaving dimension fields null,"v2,v3,v4",20,6,5,9,null_key_type
pass2.query2,q2_bad_chain_nulls,Failed to leave gene_symbol null for incomplete V5/V999 chain rows,v4,3,0,0,3,null_key_type
pass2.query2,q2_dropped_fact_rows,Did not preserve all nine fact rows in the left-join snowflake,v3,1,0,1,0,under_inclusion
pass2.query3,q3_wrong_impact,Assigned an incorrect impact value in the full outer result,"v3,v4",19,0,4,15,generic
pass2.query3,q3_missing_v6,Dropped the variant-only V6 row from the full outer join,"v2,v3,v4",10,3,4,3,under_inclusion
pass2.query3,q3_missing_v999,Dropped the fact-only V999 row from the full outer join,"v2,v3",6,3,3,0,under_inclusion
pass2.query3,q3_bad_coalesced_key,Failed to preserve the coalesced variant_id key for fact-only or matched rows,v2,2,2,0,0,null_key_type
pass2.query4,q4_avg_wrong,Computed one or more condition-impact average qualities from the wrong row set,"v2,v3,v4",69,18,15,36,numeric
pass2.query4,q4_control_high_wrong,"Miscomputed the control/high bucket, especially the two-call count and average","v2,v3,v4",66,15,15,36,numeric
pass2.query4,q4_wrong_group_set,Returned the wrong condition-impact group set,"v2,v3,v4",61,15,13,33,grouping
pass2.query5,q5_wrong_vaf,Computed average VAF from the wrong numerator/denominator or row set,"v2,v3,v4",78,18,18,42,numeric
pass2.query5,q5_wrong_max_qual,Computed max_qual from the wrong rows,"v2,v3,v4",72,12,18,42,numeric
pass2.query5,q5_leaked_unmatched_gene,Included incomplete-chain or non-gold genes such as NDHT/PGR1B,"v2,v3",18,12,6,0,over_inclusion
pass2.query6,q6_wrong_expr_average,Computed avg_expr_ndhb over samples instead of complete-chain joined calls,"v2,v3,v4",54,9,12,33,numeric
pass2.query6,q6_wrong_distinct_genes,Computed distinct gene counts from the wrong join grain,"v2,v3,v4",39,11,14,14,numeric
pass2.query6,q6_included_root,Included root/S5 even though complete inner joins should remove it,"v2,v3",16,10,6,0,over_inclusion
pass2.query7,q7_wrong_alt_average,Averaged alt_reads over the wrong subset of rows,"v2,v3,v4",72,15,18,39,numeric
pass2.query7,q7_missed_zero_alt_high,Missed the zero-alt high-impact call for S4,"v2,v3,v4",63,15,18,30,numeric
pass2.query7,q7_counted_non_high,"Counted non-high or incomplete rows as high-impact calls, often inflating S3","v2,v3,v4",45,9,6,30,numeric
pass2.query8,q8_wrong_avg_qual,Computed avg_qual from the wrong row set,"v2,v3,v4",78,18,18,42,numeric
pass2.query8,q8_wrong_alt_total,Computed total_alt_reads from the wrong row set,"v2,v3,v4",60,12,12,36,numeric
pass2.query8,q8_dropped_gene,Dropped one of the expected gene symbols,v2,3,3,0,0,under_inclusion
pass2.query8,q8_leaked_unmatched_gene,Included incomplete-chain genes that should not appear,v3,3,0,3,0,over_inclusion
pass2.query9,q9_wrong_vaf,Computed mean VAF from the wrong row set,"v2,v3,v4",78,18,18,42,numeric
pass2.query9,q9_wrong_counts,Miscomputed call_count or distinct_samples,"v2,v3,v4",73,15,18,40,numeric
pass2.query9,q9_wrong_group_set,Returned the wrong condition-pathway group set,"v2,v3,v4",55,12,13,30,grouping
pass2.query10,q10_wrong_chain_counts,Misclassified complete vs incomplete chain calls,"v2,v3,v4",63,15,12,36,numeric
pass2.query10,q10_wrong_total_calls,Miscomputed total fact calls per sample,"v2,v3,v4",36,6,3,27,numeric
pass3.query1,q1_complete_chain_status_wrong,Misclassified one or more complete-chain calls,"v2,v3,v4",15,3,3,9,classification
