model,display_model,group,group_reason,expression_transform_score,statistical_summary_score,decision_support_score,ranking_and_priority_score,repeatability_probe_score,exact_attempts,stable_exact_queries,partial_exact_queries,stable_fail_queries,mean_score
gemma4-31b-sqlbench:latest,Gemma 4 31B,Top partial-credit operators,"No exact pass-5 conversions, but best row-set recovery and strongest partial credit on expression/statistical transforms.",0.7347222222222222,0.6659375,0.80025,0.675,0.75,0,0,0,10,0.7158694444444444
gemma4-26b-sqlbench:latest,Gemma 4 26B,Top partial-credit operators,"No exact pass-5 conversions, but best row-set recovery and strongest partial credit on expression/statistical transforms.",0.7205555555555555,0.5984375,0.64825,0.3726190476190476,0.7749999999999999,0,0,0,10,0.6278980158730159
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,Top partial-credit operators,"No exact pass-5 conversions, but best row-set recovery and strongest partial credit on expression/statistical transforms.",0.6572222222222222,0.6265625,0.5595,0.475,0.8,0,0,0,10,0.6214694444444444
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,Upper-middle partial-credit operators,"Reasonable partial credit, but failures cluster around numeric formulas, population statistics, and ranking order.",0.6797222222222222,0.5234375,0.605,0.455,0.7749999999999999,0,0,0,10,0.5893194444444444
qwen3.6-sqlbench:latest,Qwen3.6,Upper-middle partial-credit operators,"Reasonable partial credit, but failures cluster around numeric formulas, population statistics, and ranking order.",0.6497222222222223,0.6038541666666667,0.46249999999999997,0.26388888888888884,0.825,0,0,0,10,0.572875
llama3-70b-sqlbench:latest,Llama 3 70B,Upper-middle partial-credit operators,"Reasonable partial credit, but failures cluster around numeric formulas, population statistics, and ranking order.",0.6372222222222221,0.5314583333333334,0.5274166666666666,0.24999999999999997,0.8,0,0,0,10,0.5505111111111111
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,Row-set fragile partial-credit,"Some useful table shape recovery, but row-set leakage and expression-derived values remain unstable.",0.5863888888888888,0.5337152777777778,0.44875,0.2333333333333333,0.8,0,0,0,10,0.5238472222222222
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,Row-set fragile partial-credit,"Some useful table shape recovery, but row-set leakage and expression-derived values remain unstable.",0.44166666666666665,0.5029166666666667,0.6150833333333333,0.30833333333333335,0.7749999999999999,0,0,0,10,0.52085
command-r-plus-sqlbench:latest,Command R+,Row-set fragile partial-credit,"Some useful table shape recovery, but row-set leakage and expression-derived values remain unstable.",0.6091737891737892,0.49541666666666667,0.5426666666666667,0.15,0.7333333333333333,0,0,0,10,0.5168680911680912
dbrx-sqlbench:latest,DBRX,Row-set fragile partial-credit,"Some useful table shape recovery, but row-set leakage and expression-derived values remain unstable.",0.653888888888889,0.4467361111111111,0.5010277777777778,0.3194444444444445,0.525,0,0,0,10,0.49412222222222224
codellama-70b-sqlbench:latest,CodeLlama 70B,Row-set fragile partial-credit,"Some useful table shape recovery, but row-set leakage and expression-derived values remain unstable.",0.46685185185185185,0.47802083333333334,0.5654444444444444,0.18888888888888888,0.7666666666666667,0,0,0,10,0.49322314814814816
phi4-mini-sqlbench:latest,Phi-4 Mini,Brittle / low-coverage,Low partial credit with frequent row-set mismatch and weak numeric derivations.,0.5890740740740741,0.4938541666666667,0.5531666666666666,0.0,0.3833333333333333,0,0,0,10,0.4643231481481481
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,Brittle / low-coverage,Low partial credit with frequent row-set mismatch and weak numeric derivations.,0.48333333333333334,0.5276041666666667,0.33,0.049999999999999996,0.5333333333333333,0,0,0,10,0.43204166666666666
