model,display_model,group,group_reason,exact_attempts,queries_with_any_exact,stable_exact_queries,pass4_exact,pass5_exact,mean_score,mean_row_set_correctness,mean_numeric_correctness,score_change_pass4_to_pass5,numeric_change_pass4_to_pass5,dominant_failure_mode
gemma4-31b-sqlbench:latest,Gemma 4 31B,Only exact converter,"Only model with any exact conversion across passes 4-5, limited to the pass-4 repairability audit.",3,1,1,3,0,0.6880347222222222,0.8352380952380952,0.5127083333333333,0.05566944444444444,-0.32591666666666663,same_count_wrong_values
gemma4-26b-sqlbench:latest,Gemma 4 26B,Top partial-credit operators,"No exact answers, but strongest partial credit and relatively stable row recovery across both Python passes.",0,0,0,0,0,0.5933220238095238,0.7689087301587302,0.40367261904761903,0.06915198412698409,-0.23495634920634917,same_count_wrong_values
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,Top partial-credit operators,"No exact answers, but strongest partial credit and relatively stable row recovery across both Python passes.",0,0,0,0,0,0.5846736111111112,0.7476587301587302,0.41151785714285716,0.07359166666666661,-0.3328690476190477,same_count_wrong_values
qwen3.6-sqlbench:latest,Qwen3.6,Upper-middle row-recovery operators,"Useful row-set recovery, but exactness collapsed under expression mapping, statistics, and presentation constraints.",0,0,0,0,0,0.5571176587301587,0.7019444444444445,0.39807738095238093,0.03151468253968259,-0.32698809523809524,same_count_wrong_values
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,Upper-middle row-recovery operators,"Useful row-set recovery, but exactness collapsed under expression mapping, statistics, and presentation constraints.",0,0,0,0,0,0.5426771825396826,0.7177777777777777,0.339109126984127,0.09328452380952373,-0.23016269841269843,row_count_mismatch
llama3-70b-sqlbench:latest,Llama 3 70B,Upper-middle row-recovery operators,"Useful row-set recovery, but exactness collapsed under expression mapping, statistics, and presentation constraints.",0,0,0,0,0,0.5274531746031746,0.7083333333333334,0.31188095238095237,0.046115873015872944,-0.2910952380952381,row_count_mismatch
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,Row/numeric fragile operators,"Some useful table shapes, but failures cluster around row leakage and derived numeric values.",0,0,0,0,0,0.5169791666666667,0.6668783068783068,0.36024801587301586,0.013736111111111171,-0.3363293650793651,row_count_mismatch
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,Row/numeric fragile operators,"Some useful table shapes, but failures cluster around row leakage and derived numeric values.",0,0,0,0,0,0.5113178571428572,0.6894444444444444,0.2824484126984127,0.019064285714285756,-0.23256349206349206,row_count_mismatch
command-r-plus-sqlbench:latest,Command R+,Row/numeric fragile operators,"Some useful table shapes, but failures cluster around row leakage and derived numeric values.",0,0,0,0,0,0.5088304741554741,0.6743589743589744,0.28526587301587303,0.01607523402523403,-0.3203095238095238,same_count_wrong_values
codellama-70b-sqlbench:latest,CodeLlama 70B,Row/numeric fragile operators,"Some useful table shapes, but failures cluster around row leakage and derived numeric values.",0,0,0,0,0,0.5033957010582011,0.65,0.3058869047619048,-0.020345105820105847,-0.3579404761904762,row_count_mismatch
dbrx-sqlbench:latest,DBRX,Row/numeric fragile operators,"Some useful table shapes, but failures cluster around row leakage and derived numeric values.",0,0,0,0,0,0.4835460317460317,0.6606944444444445,0.3173293650793651,0.021152380952380978,-0.30032539682539683,row_count_mismatch
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,Row/numeric fragile operators,"Some useful table shapes, but failures cluster around row leakage and derived numeric values.",0,0,0,0,0,0.4701482142857143,0.6008333333333333,0.3057718253968254,-0.07621309523809527,-0.3723769841269841,row_count_mismatch
phi4-mini-sqlbench:latest,Phi-4 Mini,Brittle / low-coverage,Low partial credit with weak row-set and numeric correctness across the Python-heavy phase.,0,0,0,0,0,0.4309327380952381,0.6023941798941799,0.19677314814814814,0.0667808201058201,-0.22349074074074074,row_count_mismatch
