model,display_model,group,group_reason,exact_attempts,queries_with_any_exact,stable_exact_queries,pass1_exact,pass2_exact,pass3_exact,pass4_exact,pass5_exact,mean_score,mean_row_set_correctness,mean_numeric_correctness,score_drop_pass1_to_pass5,dominant_failure_mode
gemma4-31b-sqlbench:latest,Gemma 4 31B,Study-wide leader,Only model with broad exact conversion across SQL passes and any exact conversion in the Python phase.,37,13,11,13,12,9,3,0,0.8176083333333333,0.9209285714285714,0.7013425925925926,0.20938055555555557,same_count_wrong_values
gemma4-26b-sqlbench:latest,Gemma 4 26B,Strong SQL exact converters,"Converted easy and medium SQL tasks, but exactness largely disappeared by hard SQL and Python/pandas passes.",18,6,6,9,6,3,0,0,0.6736383333333333,0.7874365079365079,0.5814320105820105,0.19460198412698415,same_count_wrong_values
qwen3.6-sqlbench:latest,Qwen3.6,Strong SQL exact converters,"Converted easy and medium SQL tasks, but exactness largely disappeared by hard SQL and Python/pandas passes.",12,4,4,6,6,0,0,0,0.6699498412698413,0.7820555555555555,0.5583698412698412,0.2689027777777777,same_count_wrong_values
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,Strong SQL exact converters,"Converted easy and medium SQL tasks, but exactness largely disappeared by hard SQL and Python/pandas passes.",11,5,3,7,3,1,0,0,0.6793180952380953,0.7972222222222223,0.5643566137566137,0.25020833333333337,row_count_mismatch
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,Strong SQL exact converters,"Converted easy and medium SQL tasks, but exactness largely disappeared by hard SQL and Python/pandas passes.",9,3,3,6,3,0,0,0,0.597317619047619,0.7192407407407407,0.4967068783068783,0.4134027777777778,row_count_mismatch
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,Partial-credit / niche survivors,"Limited exact conversion, but retained useful partial credit across multiple difficulty levels.",7,3,1,2,2,3,0,0,0.6311630952380952,0.752984126984127,0.5118399470899471,0.27884722222222225,row_count_mismatch
llama3-70b-sqlbench:latest,Llama 3 70B,Partial-credit / niche survivors,"Limited exact conversion, but retained useful partial credit across multiple difficulty levels.",3,1,1,3,0,0,0,0,0.6312270610870611,0.7601212121212121,0.5194190476190477,0.2498314814814815,row_count_mismatch
codellama-70b-sqlbench:latest,CodeLlama 70B,Brittle / low-coverage,Weak exact conversion and low partial-credit reliability across the full benchmark.,3,1,1,3,0,0,0,0,0.5109674074074074,0.6488174603174603,0.3285518518518519,0.13344748677248675,row_count_mismatch
command-r-plus-sqlbench:latest,Command R+,Partial-credit / niche survivors,"Limited exact conversion, but retained useful partial credit across multiple difficulty levels.",1,1,0,1,0,0,0,0,0.590844704924705,0.7193821733821734,0.45563809523809523,0.3134850834350834,same_count_wrong_values
dbrx-sqlbench:latest,DBRX,Low-exactness partial operators,"Some row-set recovery and partial scores, but low or absent exact conversion.",1,1,0,1,0,0,0,0,0.537522356902357,0.6959058441558441,0.3849674603174603,0.24092936507936502,row_count_mismatch
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,Low-exactness partial operators,"Some row-set recovery and partial scores, but low or absent exact conversion.",0,0,0,0,0,0,0,0,0.5747194444444444,0.7011746031746031,0.46388492063492065,-0.17155277777777778,row_count_mismatch
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,Brittle / low-coverage,Weak exact conversion and low partial-credit reliability across the full benchmark.,0,0,0,0,0,0,0,0,0.5274709259259259,0.6752248677248677,0.36498862433862433,0.15477962962962966,row_count_mismatch
phi4-mini-sqlbench:latest,Phi-4 Mini,Brittle / low-coverage,Weak exact conversion and low partial-credit reliability across the full benchmark.,0,0,0,0,0,0,0,0,0.5005600683527,0.6508117769170401,0.34116825396825395,0.22986798941798947,row_count_mismatch
