pass,case_id,query,short_name,issue_code,issue_label,attempts_with_issue,attempt_pct,example_models
1,pass1.query1,Q1,Sample inner join,q1_included_orphan_s999,Included orphan sample row S999/call_id 8 that should disappear under the inner join.,25,0.6410256410256411,"Command R+, DBRX, DeepSeek Coder 33B, Llama 3 70B"
1,pass1.query1,Q1,Sample inner join,q1_dropped_call9,Dropped call_id 9 even though sample S2 exists and should survive the sample join.,14,0.358974358974359,"CodeLlama 70B, Gemma 4 26B, Mixtral 8x22B, Qwen 2.5 72B"
1,pass1.query1,Q1,Sample inner join,q1_attribute_leakage,Leaked tissue or condition values across rows instead of preserving sample attributes.,8,0.20512820512820512,"CodeLlama 70B, Command R+, DeepSeek Coder 33B, Phi-4 Mini"
1,pass1.query2,Q2,Variant join + qual sort,q2_included_v999,Included call_id 9 / V999 despite the required inner join to `variant_dim`.,27,0.6923076923076923,"Command R+, DBRX, DeepSeek Coder 33B, Llama 3 70B"
1,pass1.query2,Q2,Variant join + qual sort,q2_wrong_sort,"Returned the matched row set but not in `qual DESC, call_id ASC` order.",20,0.5128205128205128,"Command R+, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
1,pass1.query2,Q2,Variant join + qual sort,q2_dropped_matched_calls,Dropped valid matched calls from the joined result.,19,0.48717948717948717,"CodeLlama 70B, DeepSeek Coder 33B, Mixtral 8x22B, Phi-4 Mini"
1,pass1.query3,Q3,Sample left join,q3_bad_unmatched_row,Did not preserve the unmatched `S999` row cleanly in the left join output.,18,0.46153846153846156,"CodeLlama 70B, Command R+, DBRX, Llama 3 70B"
1,pass1.query3,Q3,Sample left join,q3_attribute_mixup,Mixed condition values into tissue/batch fields or used the wrong expression values.,9,0.23076923076923078,"DBRX, DeepSeek Coder 33B, Llama 3 70B, Phi-4 Mini"
1,pass1.query3,Q3,Sample left join,q3_type_only,Matched the table semantically but serialized numbers/nulls with the wrong types.,3,0.07692307692307693,Qwen3 Coder 30B
1,pass1.query4,Q4,Outer join aggregate,q4_s2_avg_wrong,"Computed the `S2` average incorrectly, often from the wrong row set or over-rounded output.",29,0.7435897435897436,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
1,pass1.query4,Q4,Outer join aggregate,q4_s2_undercounted,"Undercounted `S2` by missing one fact row, usually call_id 9.",10,0.2564102564102564,"DBRX, Mixtral 8x22B, Phi-4 Mini, Qwen 2.5 Coder 32B"
1,pass1.query5,Q5,Variant to gene chain,q5_kept_call9,Kept unmatched call_id 9 / V999 even though the chain join should remove it.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
1,pass1.query5,Q5,Variant to gene chain,q5_kept_call6,Kept call_id 6 / V5 after the second inner join instead of dropping the incomplete chain.,31,0.7948717948717948,"Command R+, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
1,pass1.query5,Q5,Variant to gene chain,q5_dropped_matched_rows,Dropped valid matched rows while traversing the fact -> variant -> gene chain.,14,0.358974358974359,"CodeLlama 70B, Command R+, DBRX, Phi-4 Mini"
1,pass1.query6,Q6,Impact aggregate,q6_avg_wrong,Used the wrong row set for average quality per impact bucket.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
1,pass1.query6,Q6,Impact aggregate,q6_high_undercount,Under-counted high-impact calls by not aggregating both V2 and V3 duplicates.,32,0.8205128205128205,"CodeLlama 70B, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
1,pass1.query6,Q6,Impact aggregate,q6_moderate_undercount,Under-counted the two moderate V1 calls.,18,0.46153846153846156,"Command R+, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
1,pass1.query7,Q7,Tissue qual aggregate,q7_misweighted_avg,Computed tissue averages from the wrong grain instead of fact-call-weighted quality values.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
1,pass1.query7,Q7,Tissue qual aggregate,q7_wrong_extrema,Minimum or maximum quality per tissue came from the wrong row set.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
1,pass1.query7,Q7,Tissue qual aggregate,q7_included_root,Included `root` / `S5` even though the task required an inner join to fact rows only.,20,0.5128205128205128,"Command R+, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
1,pass1.query8,Q8,Condition expression aggregate,q8_sample_counts,Used sample counts instead of fact-call counts for one or more conditions.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
1,pass1.query8,Q8,Condition expression aggregate,q8_expr_misweighted,Averaged expression at the wrong grain instead of call-weighting by joined fact rows.,38,0.9743589743589743,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
1,pass1.query8,Q8,Condition expression aggregate,q8_high_light_leak,"Leaked `S5` / `high_light` into the aggregate, inflating the high-light bucket.",23,0.5897435897435898,"CodeLlama 70B, DBRX, Gemma 4 26B, Gemma 4 31B"
1,pass1.query9,Q9,Condition decision screen,q9_high_impact_miss,Missed the high-impact filter/count after joining to `variant_dim`.,38,0.9743589743589743,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
1,pass1.query9,Q9,Condition decision screen,q9_wrong_total_calls,"Used the wrong total-call counts, usually from sample-level counting or leaked rows.",35,0.8974358974358975,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
1,pass1.query9,Q9,Condition decision screen,q9_high_light_leak,Inflated the high-light bucket by leaking unmatched or extra rows.,26,0.6666666666666666,"CodeLlama 70B, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
1,pass1.query10,Q10,Variant anomaly audit,q10_false_missing_variant,Marked matched variants as `MISSING_VARIANT` instead of `MATCHED`.,9,0.23076923076923078,"CodeLlama 70B, DBRX, Phi-4 Mini"
1,pass1.query10,Q10,Variant anomaly audit,q10_type_only,Matched the audit semantically but serialized identifiers with the wrong types.,6,0.15384615384615385,"DeepSeek Coder 33B, Qwen3 Coder 30B"
1,pass1.query10,Q10,Variant anomaly audit,q10_nullified_v999,Nullified `variant_id` for call_id 9 instead of preserving `V999` from the fact table.,5,0.1282051282051282,"Mixtral 8x22B, Phi-4 Mini"
2,pass2.query1,Q1,Four-table inner join,q1_kept_call6,Kept call_id 6 / V5 even though the complete four-table inner join should remove it.,34,0.8717948717948718,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
2,pass2.query1,Q1,Four-table inner join,q1_kept_call8,Kept call_id 8 / S999 even though the sample dimension is missing.,30,0.7692307692307693,"Command R+, DBRX, DeepSeek Coder 33B, Llama 3 70B"
2,pass2.query1,Q1,Four-table inner join,q1_kept_call9,Kept call_id 9 / V999 even though the variant/gene chain is incomplete.,28,0.717948717948718,"Command R+, DBRX, DeepSeek Coder 33B, Llama 3 70B"
2,pass2.query2,Q2,Full snowflake left join,q2_wrong_gene_mapping,Mapped matched variants to the wrong gene symbol or dropped a valid gene symbol.,21,0.5384615384615384,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
2,pass2.query2,Q2,Full snowflake left join,q2_bad_sample_nulls,Filled sample attributes for S999 instead of leaving dimension fields null.,14,0.358974358974359,"CodeLlama 70B, Llama 3 70B, Mixtral 8x22B, Phi-4 Mini"
2,pass2.query2,Q2,Full snowflake left join,q2_bad_chain_nulls,Failed to leave gene_symbol null for incomplete V5/V999 chain rows.,6,0.15384615384615385,"CodeLlama 70B, DeepSeek Coder 33B, Mixtral 8x22B"
2,pass2.query3,Q3,Variant full outer join,q3_missing_v999,Dropped the fact-only V999 row from the full outer join.,16,0.41025641025641024,"CodeLlama 70B, Command R+, DBRX, Llama 3 70B"
2,pass2.query3,Q3,Variant full outer join,q3_bad_coalesced_key,Failed to preserve the coalesced variant_id key for fact-only or matched rows.,14,0.358974358974359,"CodeLlama 70B, DBRX, DeepSeek Coder 33B, Llama 3 70B"
2,pass2.query3,Q3,Variant full outer join,q3_missing_v6,Dropped the variant-only V6 row from the full outer join.,12,0.3076923076923077,"DBRX, Llama 3 70B, Mixtral 8x22B, Phi-4 Mini"
2,pass2.query4,Q4,Condition-impact aggregate,q4_avg_wrong,Computed one or more condition-impact average qualities from the wrong row set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
2,pass2.query4,Q4,Condition-impact aggregate,q4_wrong_group_set,Returned the wrong condition-impact group set.,34,0.8717948717948718,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
2,pass2.query4,Q4,Condition-impact aggregate,q4_control_high_wrong,"Miscomputed the control/high bucket, especially the two-call count and average.",30,0.7692307692307693,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
2,pass2.query5,Q5,Gene VAF aggregate,q5_wrong_vaf,Computed average VAF from the wrong numerator/denominator or row set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
2,pass2.query5,Q5,Gene VAF aggregate,q5_wrong_max_qual,Computed max_qual from the wrong rows.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
2,pass2.query5,Q5,Gene VAF aggregate,q5_leaked_unmatched_gene,Included incomplete-chain or non-gold genes such as NDHT/PGR1B.,24,0.6153846153846154,"Command R+, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
2,pass2.query6,Q6,Tissue complete-chain aggregate,q6_wrong_distinct_genes,Computed distinct gene counts from the wrong join grain.,32,0.8205128205128205,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
2,pass2.query6,Q6,Tissue complete-chain aggregate,q6_wrong_expr_average,Computed avg_expr_ndhb over samples instead of complete-chain joined calls.,28,0.717948717948718,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
2,pass2.query6,Q6,Tissue complete-chain aggregate,q6_included_root,Included root/S5 even though complete inner joins should remove it.,23,0.5897435897435898,"CodeLlama 70B, Command R+, DBRX, Gemma 4 26B"
2,pass2.query7,Q7,Sample high-impact screen,q7_missed_zero_alt_high,Missed the zero-alt high-impact call for S4.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
2,pass2.query7,Q7,Sample high-impact screen,q7_wrong_alt_average,Averaged alt_reads over the wrong subset of rows.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
2,pass2.query7,Q7,Sample high-impact screen,q7_counted_non_high,"Counted non-high or incomplete rows as high-impact calls, often inflating S3.",25,0.6410256410256411,"Command R+, DBRX, DeepSeek Coder 33B, Llama 3 70B"
2,pass2.query8,Q8,Gene read-quality aggregate,q8_wrong_avg_qual,Computed avg_qual from the wrong row set.,33,0.8461538461538461,"CodeLlama 70B, DeepSeek Coder 33B, Gemma 4 26B, Gemma 4 31B"
2,pass2.query8,Q8,Gene read-quality aggregate,q8_wrong_alt_total,Computed total_alt_reads from the wrong row set.,26,0.6666666666666666,"CodeLlama 70B, DeepSeek Coder 33B, Gemma 4 26B, Mixtral 8x22B"
2,pass2.query8,Q8,Gene read-quality aggregate,q8_leaked_unmatched_gene,Included incomplete-chain genes that should not appear.,18,0.46153846153846156,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
2,pass2.query9,Q9,Pathway decision summary,q9_wrong_counts,Miscomputed call_count or distinct_samples.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
2,pass2.query9,Q9,Pathway decision summary,q9_wrong_vaf,Computed mean VAF from the wrong row set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
2,pass2.query9,Q9,Pathway decision summary,q9_wrong_group_set,Returned the wrong condition-pathway group set.,33,0.8461538461538461,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
2,pass2.query10,Q10,Sample coverage screen,q10_wrong_chain_counts,Misclassified complete vs incomplete chain calls.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
2,pass2.query10,Q10,Sample coverage screen,q10_wrong_total_calls,Miscomputed total fact calls per sample.,17,0.4358974358974359,"CodeLlama 70B, Llama 3 70B, Mixtral 8x22B, Phi-4 Mini"
2,pass2.query10,Q10,Sample coverage screen,q10_missing_s5,Dropped zero-call sample S5 from the sample-preserving coverage screen.,11,0.28205128205128205,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query1,Q1,Join-status classification,q1_call6_status_wrong,Misclassified call_id 6 / V5; it should be MISSING_GENE.,22,0.5641025641025641,"Command R+, DBRX, DeepSeek Coder 33B, Phi-4 Mini"
3,pass3.query1,Q1,Join-status classification,q1_call9_status_wrong,Misclassified call_id 9 / V999; it should be MISSING_VARIANT.,18,0.46153846153846156,"CodeLlama 70B, Command R+, DBRX, Phi-4 Mini"
3,pass3.query1,Q1,Join-status classification,q1_complete_chain_status_wrong,Misclassified one or more complete-chain calls.,15,0.38461538461538464,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query2,Q2,Tissue-gene VAF aggregate,q2_wrong_group_set,Returned the wrong tissue-gene group set for complete-chain matched rows.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query2,Q2,Tissue-gene VAF aggregate,q2_wrong_counts_or_alt,Miscomputed call_count or sum_alt_reads.,38,0.9743589743589743,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query2,Q2,Tissue-gene VAF aggregate,q2_wrong_vaf,Computed avg_vaf from the wrong numerator/denominator or row set.,38,0.9743589743589743,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query3,Q3,Gene coverage audit,q3_wrong_total_alt,Miscomputed total_alt_reads for one or more genes.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query3,Q3,Gene coverage audit,q3_wrong_observed_count,Miscomputed observed_call_count for one or more genes.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query3,Q3,Gene coverage audit,q3_missing_zero_call_gene,Dropped zero-call genes NDHT or PGR1B from the gene-preserving audit.,7,0.1794871794871795,"CodeLlama 70B, Command R+, Mixtral 8x22B"
3,pass3.query4,Q4,High-impact condition summary,q4_wrong_group_set,Returned the wrong set of high-impact condition rows.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query4,Q4,High-impact condition summary,q4_control_bucket_wrong,Miscomputed the control high-impact bucket.,34,0.8717948717948718,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query4,Q4,High-impact condition summary,q4_high_light_bucket_wrong,Miscomputed the high_light high-impact bucket.,33,0.8461538461538461,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query5,Q5,Sample genotype classes,q5_s2_nonref_wrong,Miscomputed S2 heterozygous calls or non-reference mean quality.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query5,Q5,Sample genotype classes,q5_counted_reference_or_wrong_class,Counted reference calls or put genotypes into the wrong class.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query5,Q5,Sample genotype classes,q5_included_s999,Included S999 even though sample_dim is the preserving table.,14,0.358974358974359,"DBRX, DeepSeek Coder 33B, Llama 3 70B, Mixtral 8x22B"
3,pass3.query6,Q6,Tissue-gene dense ranking,q6_wrong_group_set,Returned the wrong tissue-gene group set before ranking.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query6,Q6,Tissue-gene dense ranking,q6_leaked_root_or_incomplete,"Leaked root, incomplete-chain, or non-gold genes into the ranking.",32,0.8205128205128205,"Command R+, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
3,pass3.query6,Q6,Tissue-gene dense ranking,q6_wrong_totals_or_vaf,Miscomputed total_alt_reads or avg_vaf.,31,0.7948717948717948,"CodeLlama 70B, Command R+, DBRX, Gemma 4 31B"
3,pass3.query7,Q7,Unused dimension anti-join,q7_object_type_labels_wrong,Used dimension-table labels such as gene_dim/sample_dim instead of gene/sample/variant.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query7,Q7,Unused dimension anti-join,q7_missing_expected_object,"Dropped or mislabeled one of G4, G5, S5, or V6 in the anti-join audit.",36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query7,Q7,Unused dimension anti-join,q7_g4_reason_wrong,Assigned the wrong reason to G4; it should be no_fact_calls_through_variants.,31,0.7948717948717948,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query8,Q8,Gene-role decision summary,q8_wrong_group_set,Returned the wrong condition-gene_role groups.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query8,Q8,Gene-role decision summary,q8_leaked_reference_or_incomplete,"Leaked reference calls, incomplete chains, or non-gold roles into the non-reference summary.",39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query8,Q8,Gene-role decision summary,q8_wrong_vaf,Computed mean_vaf from the wrong row set.,28,0.717948717948718,"CodeLlama 70B, Command R+, Gemma 4 26B, Gemma 4 31B"
3,pass3.query9,Q9,Failure-family audit,q9_wrong_complete_counts,Miscomputed complete_chain_calls by condition group.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query9,Q9,Failure-family audit,q9_wrong_missing_status_counts,"Miscomputed missing_sample, missing_variant, or missing_gene counts.",36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query10,Q10,Decision-priority candidate table,q10_wrong_vaf,Computed avg_vaf from the wrong non-reference row set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query10,Q10,Decision-priority candidate table,q10_wrong_expression,Mapped matched expression counts incorrectly.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
3,pass3.query10,Q10,Decision-priority candidate table,q10_wrong_decision_score,Computed decision_score incorrectly from avg_vaf and matched expression.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
