model,display_model,group,group_reason,exact_attempts,queries_with_any_exact,stable_exact_queries,pass1_exact,pass2_exact,pass3_exact,mean_score,score_drop_pass1_to_pass3,dominant_failure_mode
gemma4-31b-sqlbench:latest,Gemma 4 31B,Dominant cross-pass leader,Only model with high exact conversion across all three SQL passes and the smallest pass-1 to pass-3 exactness decay.,34,12,10,13,12,9,0.9039907407407407,0.05874999999999997,same_count_wrong_values
gemma4-26b-sqlbench:latest,Gemma 4 26B,Strong but difficulty-sensitive exact converters,"Converted easy/medium structural tasks, but exactness fell sharply as hard joins, audits, and ranking appeared.",18,6,6,9,6,3,0.7271825396825397,0.2524087301587302,row_count_mismatch
qwen3.6-sqlbench:latest,Qwen3.6,Strong but difficulty-sensitive exact converters,"Converted easy/medium structural tasks, but exactness fell sharply as hard joins, audits, and ranking appeared.",12,4,4,6,6,0,0.7451712962962963,0.17890277777777774,same_count_wrong_values
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,Strong but difficulty-sensitive exact converters,"Converted easy/medium structural tasks, but exactness fell sharply as hard joins, audits, and ranking appeared.",11,5,3,7,3,1,0.770412037037037,0.14865277777777774,same_count_wrong_values
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,Strong but difficulty-sensitive exact converters,"Converted easy/medium structural tasks, but exactness fell sharply as hard joins, audits, and ranking appeared.",9,3,3,6,3,0,0.6820972222222222,0.27798611111111116,same_count_wrong_values
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,Near-miss or niche hard-query operators,"Often retained useful partial credit or a narrow hard-query skill, but exact conversion was sparse.",7,3,1,2,2,3,0.7072857142857143,0.1841666666666667,same_count_wrong_values
llama3-70b-sqlbench:latest,Llama 3 70B,Near-miss or niche hard-query operators,"Often retained useful partial credit or a narrow hard-query skill, but exact conversion was sparse.",3,1,1,3,0,0,0.7004096520763188,0.1532592592592592,row_count_mismatch
codellama-70b-sqlbench:latest,CodeLlama 70B,Brittle / low-exactness operators,"Low or zero exact conversion with repeated row-set, join-chain, and aggregation-grain failures.",3,1,1,3,0,0,0.5160152116402117,0.12035119047619047,row_count_mismatch
command-r-plus-sqlbench:latest,Command R+,Near-miss or niche hard-query operators,"Often retained useful partial credit or a narrow hard-query skill, but exact conversion was sparse.",1,1,0,1,0,0,0.6455208587708587,0.3165326617826618,same_count_wrong_values
dbrx-sqlbench:latest,DBRX,Brittle / low-exactness operators,"Low or zero exact conversion with repeated row-set, join-chain, and aggregation-grain failures.",1,1,0,1,0,0,0.5735065736732403,0.19028769841269833,same_count_wrong_values
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,Brittle / low-exactness operators,"Low or zero exact conversion with repeated row-set, join-chain, and aggregation-grain failures.",0,0,0,0,0,0,0.5680833333333333,-0.20630555555555563,row_count_mismatch
phi4-mini-sqlbench:latest,Phi-4 Mini,Brittle / low-exactness operators,"Low or zero exact conversion with repeated row-set, join-chain, and aggregation-grain failures.",0,0,0,0,0,0,0.5469782885243412,0.2768339947089947,row_count_mismatch
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,Brittle / low-exactness operators,"Low or zero exact conversion with repeated row-set, join-chain, and aggregation-grain failures.",0,0,0,0,0,0,0.5382396384479717,0.2431752645502646,row_count_mismatch
