model,display_model,group,group_reason,structural_score,analytical_score,exact_attempts,stable_exact_queries,partial_exact_queries,stable_fail_queries,mean_score
gemma4-31b-sqlbench:latest,Gemma 4 31B,Broad pass leader,Converted exact answers across four query types and kept high partial credit on the zero-exact aggregation tasks.,0.9666666666666667,0.8737777777777778,12,4,0,6,0.9202222222222222
gemma4-26b-sqlbench:latest,Gemma 4 26B,Strong exact converters,"Solved the easier outer-join cases reliably but did not convert the VAF, pathway, or high-impact aggregates.",0.8796666666666667,0.6982460317460317,6,2,0,8,0.7889563492063493
qwen3.6-sqlbench:latest,Qwen3.6,Strong exact converters,"Solved the easier outer-join cases reliably but did not convert the VAF, pathway, or high-impact aggregates.",0.8728888888888888,0.5888333333333333,6,2,0,8,0.7308611111111111
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,Partial-credit joiners,"Frequently found much of the row set, but row-count, chain-null, or aggregate-grain mistakes prevented exact conversion.",0.8702222222222222,0.6914444444444444,3,1,0,9,0.7808333333333333
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,Partial-credit joiners,"Frequently found much of the row set, but row-count, chain-null, or aggregate-grain mistakes prevented exact conversion.",0.6888888888888889,0.5778888888888889,3,1,0,9,0.6333888888888889
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,Partial-credit joiners,"Frequently found much of the row set, but row-count, chain-null, or aggregate-grain mistakes prevented exact conversion.",0.8565555555555556,0.5447142857142857,2,0,1,9,0.7006349206349206
llama3-70b-sqlbench:latest,Llama 3 70B,Partial-credit joiners,"Frequently found much of the row set, but row-count, chain-null, or aggregate-grain mistakes prevented exact conversion.",0.7252727272727273,0.5823333333333333,0,0,0,10,0.6538030303030303
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,Brittle / low-coverage,"Low exact coverage plus repeated row-count, chain traversal, or numeric aggregation failures.",0.6228888888888888,0.5733333333333334,0,0,0,10,0.5981111111111111
command-r-plus-sqlbench:latest,Command R+,Brittle / low-coverage,"Low exact coverage plus repeated row-count, chain traversal, or numeric aggregation failures.",0.8085555555555556,0.3762222222222222,0,0,0,10,0.5923888888888889
phi4-mini-sqlbench:latest,Phi-4 Mini,Brittle / low-coverage,"Low exact coverage plus repeated row-count, chain traversal, or numeric aggregation failures.",0.6848518518518518,0.3739213184476342,0,0,0,10,0.529386585149743
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,Brittle / low-coverage,"Low exact coverage plus repeated row-count, chain traversal, or numeric aggregation failures.",0.6086666666666667,0.40460317460317463,0,0,0,10,0.5066349206349207
dbrx-sqlbench:latest,DBRX,Brittle / low-coverage,"Low exact coverage plus repeated row-count, chain traversal, or numeric aggregation failures.",0.5576071428571429,0.3238013468013468,0,0,0,10,0.4407042448292448
codellama-70b-sqlbench:latest,CodeLlama 70B,Brittle / low-coverage,"Low exact coverage plus repeated row-count, chain traversal, or numeric aggregation failures.",0.44322222222222224,0.3868888888888889,0,0,0,10,0.41505555555555557
