model,case_id,exact_match,score,failure_mode,aligned_cell_accuracy,row_count_match,pred_row_count,gold_row_count,missing_rows_count,extra_rows_count
gemma4-26b-256:latest,pass5.query1,False,0.0,same_count_wrong_values,0.4666666666666667,True,5,5,5,5
gemma4-26b-256:latest,pass5.query2,False,0.0,row_count_mismatch,0.19444444444444445,False,5,6,6,5
gemma4-26b-256:latest,pass5.query3,False,0.0,row_count_mismatch,0.5,False,5,4,3,4
gemma4-26b-256:latest,pass5.query4,False,0.0,same_count_wrong_values,0.25,True,3,3,3,3
gemma4-26b-256:latest,pass5.query5,False,0.0,row_count_mismatch,0.3333333333333333,False,3,2,2,3
gemma4-26b-256:latest,pass5.query6,False,0.0,row_count_mismatch,0.16,False,4,5,5,4
gemma4-26b-256:latest,pass5.query7,False,0.0,same_count_wrong_values,0.3333333333333333,True,3,3,3,3
gemma4-26b-256:latest,pass5.query8,False,0.0,same_count_wrong_values,0.42857142857142855,True,5,5,5,5
gemma4-26b-64:latest,pass5.query1,False,0.0,same_count_wrong_values,0.5,True,5,5,5,5
gemma4-26b-64:latest,pass5.query2,False,0.0,row_count_mismatch,0.16666666666666666,False,7,6,6,7
gemma4-26b-64:latest,pass5.query3,False,0.0,row_count_mismatch,0.5,False,5,4,3,4
gemma4-26b-64:latest,pass5.query4,False,0.0,same_count_wrong_values,0.25,True,3,3,3,3
gemma4-26b-64:latest,pass5.query5,False,0.0,row_count_mismatch,0.3333333333333333,False,3,2,2,3
gemma4-26b-64:latest,pass5.query6,False,0.0,row_count_mismatch,0.16,False,4,5,5,4
gemma4-26b-64:latest,pass5.query7,False,0.0,same_count_wrong_values,0.3333333333333333,True,3,3,3,3
gemma4-26b-64:latest,pass5.query8,False,0.0,same_count_wrong_values,0.42857142857142855,True,5,5,5,5
gemma4-31b-256:latest,pass5.query1,False,0.0,same_count_wrong_values,0.4666666666666667,True,5,5,5,5
gemma4-31b-256:latest,pass5.query2,False,0.0,same_count_wrong_values,0.7777777777777778,True,6,6,4,4
gemma4-31b-256:latest,pass5.query3,False,0.0,same_count_wrong_values,0.7083333333333334,True,4,4,2,2
gemma4-31b-256:latest,pass5.query4,False,0.0,same_count_wrong_values,0.25,True,3,3,3,3
gemma4-31b-256:latest,pass5.query5,False,0.0,same_count_wrong_values,0.5833333333333334,True,2,2,2,2
gemma4-31b-256:latest,pass5.query6,False,0.0,same_count_wrong_values,0.2,True,5,5,5,5
gemma4-31b-256:latest,pass5.query7,False,0.0,same_count_wrong_values,0.26666666666666666,True,3,3,3,3
gemma4-31b-256:latest,pass5.query8,False,0.0,same_count_wrong_values,0.6,True,5,5,3,3
gemma4-31b-64:latest,pass5.query1,False,0.0,same_count_wrong_values,0.4,True,5,5,5,5
gemma4-31b-64:latest,pass5.query2,False,0.0,same_count_wrong_values,0.7777777777777778,True,6,6,4,4
gemma4-31b-64:latest,pass5.query3,False,0.0,row_count_mismatch,0.43333333333333335,False,5,4,2,3
gemma4-31b-64:latest,pass5.query4,False,0.0,same_count_wrong_values,0.25,True,3,3,3,3
gemma4-31b-64:latest,pass5.query5,False,0.0,same_count_wrong_values,0.5833333333333334,True,2,2,2,2
gemma4-31b-64:latest,pass5.query6,False,0.0,same_count_wrong_values,0.2,True,5,5,5,5
gemma4-31b-64:latest,pass5.query7,False,0.0,same_count_wrong_values,0.26666666666666666,True,3,3,3,3
gemma4-31b-64:latest,pass5.query8,False,0.0,same_count_wrong_values,0.5714285714285714,True,5,5,3,3
phi4-mini-128:latest,pass5.query1,False,0.0,row_count_mismatch,0.13333333333333333,False,2,5,5,2
phi4-mini-128:latest,pass5.query2,False,0.0,row_count_mismatch,0.1111111111111111,False,2,6,6,2
phi4-mini-128:latest,pass5.query3,False,0.0,row_count_mismatch,0.125,False,2,4,4,2
phi4-mini-128:latest,pass5.query4,False,0.0,row_count_mismatch,0.08333333333333333,False,2,3,3,2
phi4-mini-128:latest,pass5.query5,False,0.0,same_count_wrong_values,0.16666666666666666,True,2,2,2,2
phi4-mini-128:latest,pass5.query6,False,0.0,row_count_mismatch,0.08,False,2,5,5,2
phi4-mini-128:latest,pass5.query7,False,0.0,row_count_mismatch,0.13333333333333333,False,2,3,3,2
phi4-mini-128:latest,pass5.query8,False,0.0,row_count_mismatch,0.0,False,0,5,5,0
qwen3-coder-30b-256:latest,pass5.query1,False,0.0,same_count_wrong_values,0.3333333333333333,True,5,5,5,5
qwen3-coder-30b-256:latest,pass5.query2,False,0.0,row_count_mismatch,0.3333333333333333,False,9,6,6,9
qwen3-coder-30b-256:latest,pass5.query3,False,0.0,row_count_mismatch,0.2222222222222222,False,9,4,3,8
qwen3-coder-30b-256:latest,pass5.query4,False,0.0,same_count_wrong_values,0.25,True,3,3,3,3
qwen3-coder-30b-256:latest,pass5.query5,False,0.0,row_count_mismatch,0.16666666666666666,False,5,2,2,5
qwen3-coder-30b-256:latest,pass5.query6,False,0.0,same_count_wrong_values,0.2,True,5,5,5,5
qwen3-coder-30b-256:latest,pass5.query7,False,0.0,same_count_wrong_values,0.4666666666666667,True,3,3,3,3
qwen3-coder-30b-256:latest,pass5.query8,False,0.0,same_count_wrong_values,0.4857142857142857,True,5,5,5,5
qwen3-coder-30b-64:latest,pass5.query1,False,0.0,same_count_wrong_values,0.3333333333333333,True,5,5,5,5
qwen3-coder-30b-64:latest,pass5.query2,False,0.0,row_count_mismatch,0.35185185185185186,False,9,6,6,9
qwen3-coder-30b-64:latest,pass5.query3,False,0.0,row_count_mismatch,0.2222222222222222,False,9,4,3,8
qwen3-coder-30b-64:latest,pass5.query4,False,0.0,same_count_wrong_values,0.25,True,3,3,3,3
qwen3-coder-30b-64:latest,pass5.query5,False,0.0,row_count_mismatch,0.13333333333333333,False,5,2,2,5
qwen3-coder-30b-64:latest,pass5.query6,False,0.0,same_count_wrong_values,0.2,True,5,5,5,5
qwen3-coder-30b-64:latest,pass5.query7,False,0.0,same_count_wrong_values,0.4666666666666667,True,3,3,3,3
qwen3-coder-30b-64:latest,pass5.query8,False,0.0,same_count_wrong_values,0.4857142857142857,True,5,5,5,5
qwen36-256:latest,pass5.query1,False,0.0,same_count_wrong_values,0.3333333333333333,True,5,5,5,5
qwen36-256:latest,pass5.query2,False,0.0,row_count_mismatch,0.3888888888888889,False,9,6,6,9
qwen36-256:latest,pass5.query3,False,0.0,row_count_mismatch,0.2037037037037037,False,9,4,4,9
qwen36-256:latest,pass5.query4,False,0.0,same_count_wrong_values,0.25,True,3,3,3,3
qwen36-256:latest,pass5.query5,False,0.0,row_count_mismatch,0.20833333333333334,False,4,2,2,4
qwen36-256:latest,pass5.query6,False,0.0,same_count_wrong_values,0.2,True,5,5,5,5
qwen36-256:latest,pass5.query7,False,0.0,same_count_wrong_values,0.4666666666666667,True,3,3,3,3
qwen36-256:latest,pass5.query8,False,0.0,same_count_wrong_values,0.5142857142857142,True,5,5,5,5
qwen36-64:latest,pass5.query1,False,0.0,same_count_wrong_values,0.36666666666666664,True,5,5,5,5
qwen36-64:latest,pass5.query2,False,0.0,row_count_mismatch,0.3888888888888889,False,9,6,6,9
qwen36-64:latest,pass5.query3,False,0.0,row_count_mismatch,0.2037037037037037,False,9,4,2,7
qwen36-64:latest,pass5.query4,False,0.0,same_count_wrong_values,0.25,True,3,3,3,3
qwen36-64:latest,pass5.query5,False,0.0,same_count_wrong_values,0.4166666666666667,True,2,2,2,2
qwen36-64:latest,pass5.query6,False,0.0,same_count_wrong_values,0.2,True,5,5,5,5
qwen36-64:latest,pass5.query7,False,0.0,same_count_wrong_values,0.4666666666666667,True,3,3,2,2
qwen36-64:latest,pass5.query8,False,0.0,same_count_wrong_values,0.4857142857142857,True,5,5,5,5
