attempt_exact_match_rate,attempt_score_cv,attempt_score_mean,attempt_score_stddev,attempts,case_id,difficulty,estimated_cost_usd_total,failure_families_case_json,failure_family_primary_case,language,model,pass,prompt_sensitive_failure,prompt_sensitive_failure_rate,repairability_class,stable_failure,stable_failure_rate,stable_success,wall_s_total
0.0,0.0,0.625,0.0,3,pass1.query1,easy,0.0,"[""aggregation_numeric"", ""inner_join_accuracy"", ""outer_join_coverage"", ""sorting_presentation""]",inner_join_accuracy,sql,codellama-70b-sqlbench:latest,1,False,0.0,strict,True,1.0,False,403.6869723990094
0.0,1.4142135623730951,0.3333333333333333,0.4714045207910317,3,pass1.query10,easy,0.0,"[""aggregation_numeric"", ""inner_join_accuracy"", ""join_key_integrity"", ""outer_join_coverage"", ""sorting_presentation""]",join_key_integrity,sql,codellama-70b-sqlbench:latest,1,False,0.0,strict,True,1.0,False,283.2651566749846
0.0,0.0,0.42500000000000004,0.0,3,pass1.query2,easy,0.0,"[""aggregation_numeric"", ""inner_join_accuracy"", ""outer_join_coverage"", ""sorting_presentation""]",sorting_presentation,sql,codellama-70b-sqlbench:latest,1,False,0.0,strict,True,1.0,False,177.7642858349427
1.0,0.0,1.0,0.0,3,pass1.query3,easy,0.0,"[""aggregation_numeric"", ""inner_join_accuracy"", ""outer_join_coverage"", ""sorting_presentation""]",outer_join_coverage,sql,codellama-70b-sqlbench:latest,1,False,0.0,strict,False,0.0,True,305.25582753200433
0.0,0.030413194889744005,0.93,0.028284271247461926,3,pass1.query4,easy,0.0,"[""aggregation_numeric"", ""inner_join_accuracy"", ""outer_join_coverage"", ""sorting_presentation""]",outer_join_coverage,sql,codellama-70b-sqlbench:latest,1,False,0.0,strict,True,1.0,False,188.6386127139849
0.0,1.414213562373095,0.2380952380952381,0.3367175148507369,3,pass1.query5,easy,0.0,"[""aggregation_numeric"", ""inner_join_accuracy"", ""outer_join_coverage"", ""snowflake_traversal"", ""sorting_presentation""]",snowflake_traversal,sql,codellama-70b-sqlbench:latest,1,False,0.0,strict,True,1.0,False,223.20321902897558
0.0,0.0,0.6375,0.0,3,pass1.query6,easy,0.0,"[""aggregation_numeric"", ""inner_join_accuracy"", ""outer_join_coverage"", ""sorting_presentation""]",aggregation_numeric,sql,codellama-70b-sqlbench:latest,1,False,0.0,strict,True,1.0,False,118.27130353599205
0.0,0.0,0.5,0.0,3,pass1.query7,easy,0.0,"[""aggregation_numeric"", ""inner_join_accuracy"", ""outer_join_coverage"", ""sorting_presentation""]",aggregation_numeric,sql,codellama-70b-sqlbench:latest,1,False,0.0,strict,True,1.0,False,114.70788181800162
0.0,0.0,0.8000000000000002,0.0,3,pass1.query8,easy,0.0,"[""aggregation_numeric"", ""inner_join_accuracy"", ""outer_join_coverage"", ""sorting_presentation""]",aggregation_numeric,sql,codellama-70b-sqlbench:latest,1,False,0.0,strict,True,1.0,False,122.99660337498062
0.0,0.02020305089104428,0.7777777777777777,0.015713484026367772,3,pass1.query9,easy,0.0,"[""aggregation_numeric"", ""decision_support"", ""inner_join_accuracy"", ""outer_join_coverage"", ""sorting_presentation""]",decision_support,sql,codellama-70b-sqlbench:latest,1,False,0.0,strict,True,1.0,False,148.18767591399956
0.0,1.414213562373095,0.27777777777777785,0.39283710065919314,3,pass2.query1,medium,0.0,"[""aggregation_numeric"", ""decision_support"", ""outer_join_coverage"", ""snowflake_traversal""]",snowflake_traversal,sql,codellama-70b-sqlbench:latest,2,False,0.0,strict,True,1.0,False,323.61783732901677
0.0,0.0,0.7200000000000001,0.0,3,pass2.query10,medium,0.0,"[""aggregation_numeric"", ""decision_support"", ""outer_join_coverage"", ""snowflake_traversal""]",decision_support,sql,codellama-70b-sqlbench:latest,2,False,0.0,strict,True,1.0,False,196.64318839999032
0.0,0.0,0.0,0.0,3,pass2.query2,medium,0.0,"[""aggregation_numeric"", ""decision_support"", ""outer_join_coverage"", ""snowflake_traversal""]",outer_join_coverage,sql,codellama-70b-sqlbench:latest,2,False,0.0,strict,True,1.0,False,488.80003524097265
0.0,0.26896086155561943,0.5433333333333333,0.1461354014452199,3,pass2.query3,medium,0.0,"[""aggregation_numeric"", ""decision_support"", ""outer_join_coverage"", ""snowflake_traversal""]",outer_join_coverage,sql,codellama-70b-sqlbench:latest,2,False,0.0,strict,True,1.0,False,282.970064877969
0.0,0.013598207330510481,0.2888888888888889,0.003928371006591917,3,pass2.query4,medium,0.0,"[""aggregation_numeric"", ""decision_support"", ""outer_join_coverage"", ""snowflake_traversal""]",aggregation_numeric,sql,codellama-70b-sqlbench:latest,2,False,0.0,strict,True,1.0,False,517.698290727014
0.0,0.0,0.3333333333333333,0.0,3,pass2.query5,medium,0.0,"[""aggregation_numeric"", ""decision_support"", ""outer_join_coverage"", ""snowflake_traversal""]",aggregation_numeric,sql,codellama-70b-sqlbench:latest,2,False,0.0,strict,True,1.0,False,135.73888050598907
0.0,0.2095131203515696,0.6749999999999999,0.14142135623730948,3,pass2.query6,medium,0.0,"[""aggregation_numeric"", ""decision_support"", ""outer_join_coverage"", ""snowflake_traversal""]",snowflake_traversal,sql,codellama-70b-sqlbench:latest,2,False,0.0,strict,True,1.0,False,136.11425613801111
0.0,0.02396972139615417,0.5900000000000001,0.014142135623730963,3,pass2.query7,medium,0.0,"[""aggregation_numeric"", ""decision_support"", ""outer_join_coverage"", ""snowflake_traversal""]",outer_join_coverage,sql,codellama-70b-sqlbench:latest,2,False,0.0,strict,True,1.0,False,192.77961850099382
0.0,0.282842712474619,0.3888888888888889,0.10999438818457406,3,pass2.query8,medium,0.0,"[""aggregation_numeric"", ""decision_support"", ""outer_join_coverage"", ""snowflake_traversal""]",aggregation_numeric,sql,codellama-70b-sqlbench:latest,2,False,0.0,strict,True,1.0,False,158.45415651699295
0.0,0.0,0.3333333333333333,0.0,3,pass2.query9,medium,0.0,"[""aggregation_numeric"", ""decision_support"", ""outer_join_coverage"", ""snowflake_traversal""]",decision_support,sql,codellama-70b-sqlbench:latest,2,False,0.0,human_repairable,True,1.0,False,298.17571770300856
0.0,0.0,1.0,0.0,3,pass3.query1,hard,0.0,"[""aggregation_numeric"", ""decision_support"", ""join_key_integrity"", ""orphan_key_audit""]",join_key_integrity,sql,codellama-70b-sqlbench:latest,3,False,0.0,strict,True,1.0,False,320.46621395798866
0.0,0.0,0.5166666666666666,0.0,3,pass3.query10,hard,0.0,"[""aggregation_numeric"", ""decision_support"", ""join_key_integrity"", ""orphan_key_audit""]",decision_support,sql,codellama-70b-sqlbench:latest,3,False,0.0,strict,True,1.0,False,192.51241643496905
0.0,0.25444009699599623,0.4979166666666666,0.12668996496258977,3,pass3.query2,hard,0.0,"[""aggregation_numeric"", ""decision_support"", ""join_key_integrity"", ""orphan_key_audit""]",aggregation_numeric,sql,codellama-70b-sqlbench:latest,3,False,0.0,strict,True,1.0,False,222.63941470198915
0.0,0.32779784558316777,0.5033333333333334,0.16499158227686114,3,pass3.query3,hard,0.0,"[""aggregation_numeric"", ""decision_support"", ""join_key_integrity"", ""orphan_key_audit""]",orphan_key_audit,sql,codellama-70b-sqlbench:latest,3,False,0.0,strict,True,1.0,False,210.14861768801347
0.0,0.05439282932204211,0.4333333333333333,0.02357022603955158,3,pass3.query4,hard,0.0,"[""aggregation_numeric"", ""decision_support"", ""join_key_integrity"", ""orphan_key_audit""]",aggregation_numeric,sql,codellama-70b-sqlbench:latest,3,False,0.0,strict,True,1.0,False,133.17415361799067
0.0,0.0,0.8799999999999999,0.0,3,pass3.query5,hard,0.0,"[""aggregation_numeric"", ""decision_support"", ""join_key_integrity"", ""orphan_key_audit"", ""outer_join_coverage""]",outer_join_coverage,sql,codellama-70b-sqlbench:latest,3,False,0.0,strict,True,1.0,False,208.36874346697005
0.0,0.0,0.3499999999999999,0.0,3,pass3.query6,hard,0.0,"[""aggregation_numeric"", ""decision_support"", ""join_key_integrity"", ""orphan_key_audit"", ""ranking_and_priority""]",ranking_and_priority,sql,codellama-70b-sqlbench:latest,3,False,0.0,strict,True,1.0,False,173.0364560240123
0.0,0.0,0.0,0.0,3,pass3.query7,hard,0.0,"[""aggregation_numeric"", ""decision_support"", ""join_key_integrity"", ""orphan_key_audit""]",orphan_key_audit,sql,codellama-70b-sqlbench:latest,3,False,0.0,strict,True,1.0,False,153.9581607709697
