model,display_model,group,group_reason,audit_score,analytical_score,exact_attempts,stable_exact_queries,partial_exact_queries,stable_fail_queries,mean_score
gemma4-31b-sqlbench:latest,Gemma 4 31B,Broad pass leader,"Only model with stable exact conversions across join-status, genotype, and anti-join audit tasks.",0.90875,0.8383333333333334,9,3,0,7,0.8665
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,Single-skill exact converters,"Converted one query reliably, but did not generalize to the aggregate, ranking, or decision-support tasks.",0.6652083333333334,0.5874074074074074,3,1,0,9,0.6185277777777778
gemma4-26b-sqlbench:latest,Gemma 4 26B,Single-skill exact converters,"Converted one query reliably, but did not generalize to the aggregate, ranking, or decision-support tasks.",0.6996875,0.4836937830687831,3,1,0,9,0.5700912698412698
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,Partial-credit operators,"Usually found part of the row set, but numeric grain, role grouping, or status classification blocked exact matches.",0.7209375,0.6708333333333333,1,0,1,9,0.690875
qwen3.6-sqlbench:latest,Qwen3.6,Partial-credit operators,"Usually found part of the row set, but numeric grain, role grouping, or status classification blocked exact matches.",0.7181249999999999,0.6260416666666667,0,0,0,10,0.662875
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,Partial-credit operators,"Usually found part of the row set, but numeric grain, role grouping, or status classification blocked exact matches.",0.6561805555555555,0.65625,0,0,0,10,0.6562222222222223
llama3-70b-sqlbench:latest,Llama 3 70B,Partial-credit operators,"Usually found part of the row set, but numeric grain, role grouping, or status classification blocked exact matches.",0.6278125,0.6599305555555556,0,0,0,10,0.6470833333333333
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,Brittle / low-coverage,"No exact conversions plus repeated row-set, audit-label, or numeric calculation failures.",0.621875,0.5311805555555555,0,0,0,10,0.5674583333333333
dbrx-sqlbench:latest,DBRX,Brittle / low-coverage,"No exact conversions plus repeated row-set, audit-label, or numeric calculation failures.",0.6021875,0.5064814814814815,0,0,0,10,0.5447638888888889
command-r-plus-sqlbench:latest,Command R+,Brittle / low-coverage,"No exact conversions plus repeated row-set, audit-label, or numeric calculation failures.",0.5346875,0.49990918803418805,0,0,0,10,0.5138205128205128
codellama-70b-sqlbench:latest,CodeLlama 70B,Brittle / low-coverage,"No exact conversions plus repeated row-set, audit-label, or numeric calculation failures.",0.5602083333333334,0.47039351851851846,0,0,0,10,0.5063194444444444
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,Brittle / low-coverage,"No exact conversions plus repeated row-set, audit-label, or numeric calculation failures.",0.6378125,0.2955489417989418,0,0,0,10,0.4324543650793651
phi4-mini-sqlbench:latest,Phi-4 Mini,Brittle / low-coverage,"No exact conversions plus repeated row-set, audit-label, or numeric calculation failures.",0.5539136904761905,0.32631944444444444,0,0,0,10,0.41735714285714287
