model,case_id,exact_match,failure_mode,aligned_cell_accuracy,row_count_match,pred_row_count,gold_row_count,missing_rows_count,extra_rows_count
gemma4-26b-256:latest,pass2.query1,False,row_count_mismatch,0.7380952380952381,False,7,6,0,1
gemma4-26b-256:latest,pass2.query2,True,exact,1.0,True,9,9,0,0
gemma4-26b-256:latest,pass2.query3,True,exact,1.0,True,10,10,0,0
gemma4-26b-256:latest,pass2.query4,False,row_count_mismatch,0.2,False,10,6,3,7
gemma4-26b-256:latest,pass2.query5,False,row_count_mismatch,0.0,False,4,3,2,3
gemma4-26b-256:latest,pass2.query6,False,row_count_mismatch,0.2222222222222222,False,3,2,1,2
gemma4-26b-256:latest,pass2.query7,False,same_count_wrong_values,0.8,True,5,5,1,1
gemma4-26b-256:latest,pass2.query8,False,same_count_wrong_values,0.75,True,3,3,2,2
gemma4-26b-64:latest,pass2.query1,False,row_count_mismatch,0.7380952380952381,False,7,6,0,1
gemma4-26b-64:latest,pass2.query2,True,exact,1.0,True,9,9,0,0
gemma4-26b-64:latest,pass2.query3,True,exact,1.0,True,10,10,0,0
gemma4-26b-64:latest,pass2.query4,False,row_count_mismatch,0.06818181818181818,False,11,6,6,11
gemma4-26b-64:latest,pass2.query5,False,row_count_mismatch,0.0,False,4,3,2,3
gemma4-26b-64:latest,pass2.query6,False,row_count_mismatch,0.2222222222222222,False,3,2,2,3
gemma4-26b-64:latest,pass2.query7,False,same_count_wrong_values,0.8,True,5,5,1,1
gemma4-26b-64:latest,pass2.query8,False,same_count_wrong_values,0.75,True,3,3,2,2
gemma4-31b-256:latest,pass2.query1,False,row_count_mismatch,0.7380952380952381,False,7,6,0,1
gemma4-31b-256:latest,pass2.query2,True,exact,1.0,True,9,9,0,0
gemma4-31b-256:latest,pass2.query3,True,exact,1.0,True,10,10,0,0
gemma4-31b-256:latest,pass2.query4,False,same_count_wrong_values,0.9166666666666666,True,6,6,1,1
gemma4-31b-256:latest,pass2.query5,False,same_count_wrong_values,0.2222222222222222,True,3,3,2,2
gemma4-31b-256:latest,pass2.query6,True,exact,1.0,True,2,2,0,0
gemma4-31b-256:latest,pass2.query7,True,exact,1.0,True,5,5,0,0
gemma4-31b-256:latest,pass2.query8,False,same_count_wrong_values,0.8333333333333334,True,3,3,1,1
gemma4-31b-64:latest,pass2.query1,False,row_count_mismatch,0.7380952380952381,False,7,6,0,1
gemma4-31b-64:latest,pass2.query2,True,exact,1.0,True,9,9,0,0
gemma4-31b-64:latest,pass2.query3,True,exact,1.0,True,10,10,0,0
gemma4-31b-64:latest,pass2.query4,False,same_count_wrong_values,0.9166666666666666,True,6,6,1,1
gemma4-31b-64:latest,pass2.query5,False,same_count_wrong_values,0.2222222222222222,True,3,3,2,2
gemma4-31b-64:latest,pass2.query6,True,exact,1.0,True,2,2,0,0
gemma4-31b-64:latest,pass2.query7,True,exact,1.0,True,5,5,0,0
